,종류,공고번호,발견장소,특징,성별,상태
4056,인천-서구-2024-00477,서구 봉오재1로15..,없음,수컷,방사,코숏|파티칼라
4060,전북-군산-2024-00380,옥성북길 29,.,수컷,방사,코리안숏헤어|고등어
4064,경남-남해-2024-00083,경남 남해군 미조면..,없음,암컷,방사,"한국고양이|갈색,회색"
4068,경남-고성-2024-00844,하일면 송천2길 9..,일반적임,암컷,방사,코숏|흰/줄무늬
4072,경남-진주-2024-00838,명석면 판문로 47..,사납고 포악,수컷,방사,코숏|회색
4076,강원-속초-2024-00118,도리원마을회관,특이사항 없음,수컷,방사,코숏|흑/흰
4080,경남-고성-2024-00842,하일면 송천2길 9..,일반적임,암컷,방사,코숏|삼색
4084,인천-중구-2024-00152,선녀바위로 193 ..,길고양이,수컷,방사,한국고양이|치즈
4088,전북-군산-2024-00379,옥성북길 29,.,수컷,방사,코리안숏헤어|치즈
4092,인천-중구-2024-00151,선녀바위로 193 ..,길고양이,암컷,방사,한국고양이|검/흰색
4096,경기-남양주-2024-00990,금곡로19번길47,"사나움,진통제 투여..",암컷,방사,k.c.|삼색
4100,제주-제주-2024-01189,신촌3길 23-6,무,수컷,방사,한국고양이|흰/갈
4104,경기-평택-2024-00401,경기도 평택시 청북..,"고등,흰",수컷,방사,"코리안숏헤어|고등,흰"
4108,경기-안산-2024-00638,부곡동 641-5,없음,수컷,방사,한국고양이|턱시도
4112,서울-용산-2024-00234,용산구 대사관로16..,양호함,수컷,방사,코숏|치즈냥이
4116,경남-합천-2024-00276,합천읍 장수로 일원..,온순,암컷,방사,"한국고양이|흰색,검은색"
4120,경기-평택-2024-00399,경기도 평택시 현덕..,검정,수컷,방사,코리안숏헤어|검정
4124,충남-서천-2024-00111,서천군 서천..,코끝이 검정색,수컷,방사,한국산고양이|검/흰
4128,경기-안산-2024-00637,장상동 18-5 건..,없음,암컷,방사,한국고양이|흰고
4132,충북-진천-2024-00155,광혜원 월성리228..,특이사항없음,암컷,방사,장모믹스고양이|레드 앤 화이트
4136,경남-합천-2024-00275,쌍백면 대현 2길 ..,온순,수컷,방사,한국고양이|노란색
4140,전남-광양-2024-00245,덕례리 탑요양병원 ..,이상없음,암컷,방사,코리안숏|흰색
4144,경남-합천-2024-00273,대병면 성리4길 1..,온순,수컷,방사,한국고양이|노란색
4148,서울-용산-2024-00233,용산구 대사관로16..,양호함,수컷,방사,코숏|흑백색
4152,전북-정읍-2024-00570,소성반월1길15,없음,암컷,방사,코숏|갈색.검정
4156,경남-고성-2024-00830,경상남도 고성군 회..,매우 사나움,수컷,방사,코리안숏헤어|흰검
