,사업지역(시군구),포획일자,포획장소,몸무게(kg),성별,상태,TNR일자,TNR병원,방사일자,방사장소,방사포획일치
158,달성군,2024-04-19,다사읍 문양역5길 41,4.0,암컷,방사,2024-04-19,119동물병원,2024-04-22,다사읍 문양역5길 41,True
159,달성군,2024-04-19,테크노상업로 111 ,4.0,수컷,방사,2024-04-19,현풍동물병원,2024-04-20,테크노상업로 111 ,True
160,수성구,2024-04-19,수성구 동대구로 52길 55,3.48,수컷,방사,2024-04-19,허동물병원,2024-04-20,수성구 동대구로 52길 55,True
161,수성구,2024-04-19,들안로48길 43,3.38,암컷,방사,2024-04-19,허동물병원,2024-04-22,들안로48길 43,True
162,중구,2024-04-19,중구 서성로 13길 13,3.76,수컷,방사,2024-04-19,대구시수의사회(동산),2024-04-20,중구 서성로 13길 13,True
163,수성구,2024-04-19,수성로 64길 42,3.96,암컷,방사,2024-04-19,신세계동물병원,2024-04-22,수성로 64길42,True
164,중구,2024-04-19,동인 인쇄소 ,4.34,암컷,방사,2024-04-19,대구시수의사회(동산),2024-04-23,동인 인쇄소,True
165,중구,2024-04-19,동인 인쇄소 ,3.8,암컷,방사,2024-04-20,대구시수의사회(동산),2024-04-23,동인 인쇄소,True
166,달성군,2024-04-19,다사읍 달구벌대로 893,6.0,수컷,방사,2024-04-19,119동물병원,2024-04-20,다사읍 달구벌대로 893,True
167,중구,2024-04-19,동인 인쇄소 ,4.25,수컷,방사,2024-04-19,대구시수의사회(동산),2024-04-20,동인 인쇄소,True
168,중구,2024-04-19,동덕로26길 18-9,6.48,수컷,방사,2024-04-19,대구시수의사회(삼덕),2024-04-20,동덕로26길 18-9,True
169,달서구,2024-04-18,달서구 호산동368-5,4.1,수컷,방사,2024-04-18,온누리동물병원,2024-04-19,달서구 호산동368-5,True
170,달서구,2024-04-18, 대구광역시 달서구 대명천로 250 (장기동 영남 네오빌 비스타),4.5,수컷,방사,2024-04-18,본리종합동물병원,2024-04-19,대구광역시 달서구 대명천로 250 (장기동 영남 네오빌 비스타),True
171,남구,2024-04-18,대구광역시 남구 현충로24길 16 (대명동),3.7,수컷,방사,2024-04-18,리더스동물병원,2024-04-19,대구광역시 남구 현충로24길 16 (대명동),True
172,남구,2024-04-18,대구광역시 남구 장전5길 41 (대명동),4.76,수컷,방사,2024-04-18,리더스동물병원,2024-04-19,대구광역시 남구 장전5길 41 (대명동),True
173,달서구,2024-04-18,대구광역시 달서구 월곡로20길 25-15,4.24,수컷,방사,2024-04-18,초록동물병원,2024-04-19,대구광역시 달서구 월곡로20길 25-15,True
174,중구,2024-04-18,이천로 195-9 ,3.2,암컷,방사,2024-04-18,대구시수의사회(삼덕),2024-04-21,이천로 195-9,True
175,달서구,2024-04-18, 대구광역시 달서구 대명천로 250 (장기동 영남 네오빌 비스타),4.3,암컷,방사,2024-04-18,본리종합동물병원,2024-04-22,대구광역시 달서구 대명천로 250 (장기동 영남 네오빌 비스타),True
176,중구,2024-04-18,이천로 195-9 ,3.28,암컷,방사,2024-04-18,대구시수의사회(삼덕),2024-04-21,이천로 195-9 ,True
177,북구,2024-04-18,북구 작원길 24,3.6,수컷,방사,2024-04-18,강동물병원,2024-04-19,북구 작원길24,True
178,서구,2024-04-18,통학로46길39-18,4.0,암컷,방사,2024-04-18,대구시수의사회(삼성),2024-04-22,통학로46길39-18,True
179,수성구,2024-04-18,범안로 77,4.0,수컷,방사,2024-04-18,멘토동물병원,2024-04-19,수성구 범안로 77,True
180,달서구,2024-04-18,월곡로53동길32,2.4,암컷,방사,2024-04-18,동행동물병원,2024-04-22,월곡로53동길32,True
181,달성군,2024-04-18,주리1길 52-24,3.6,수컷,방사,2024-04-18,동인동물병원,2024-04-20,주리1길 52-24,True
182,서구,2024-04-18,서대구로5길 34-1,3.04,수컷,방사,2024-04-18,대구수의사회(아이펫),2024-04-19,서대구로5길 34-1,True
183,수성구,2024-04-18,수성로 64길 42,2.66,암컷,방사,2024-04-18,신세계동물병원,2024-04-22,수성로 64길42,True
184,수성구,2024-04-18,수성구 189,2.1,수컷,방사,2024-04-18,신세계동물병원,2024-04-19,수성구 189,True
185,서구,2024-04-18,서구 고성로 8-6일대,5.1,수컷,방사,2024-04-18,대구시수의사회(보경),2024-04-19,서구 고성로 8-6일대,True
186,중구,2024-04-18,이천로 230-34,3.72,수컷,방사,2024-04-18,대구시수의사회(삼덕),2024-04-19,이천로 230-34,True
